City,mean_rv_price,median_rv_price
humboldt,9414.3842592592591,5500.0
monterey,24607.140909090907,18997.5
merced,20293.582887700533,15000.0
reno,15350.111111111111,10600.0
san luis obispo,14363.56880733945,11500.0
modesto,16469.649038461539,10975.0
roseburg,17134.242424242424,10800.0
yuba-sutter,16382.400943396226,11449.5
stockton,20406.064864864864,14800.0
orange co,17218.529953917052,7000.0
fresno,17240.281081081081,11975.0
mendocino co,15663.246376811594,8000.0
santa maria,16028.612903225807,8950.0
sacramento,18484.164444444443,10000.0
visalia-tulare,14968.505434782608,7100.0
klamath falls,20640.34,12250.0
palm springs,23842.119617224882,8500.0
siskiyou co,13444.722727272727,7950.0
gold country,14194.582159624413,10000.0
bakersfield,15959.509803921568,10000.0
susanville,13964.549107142857,8995.0
inland empire,14411.018691588784,6500.0
hanford,17424.224299065419,10000.0
chico,18234.71875,8625.0
ventura,28503.697777777779,14500.0
las vegas,16832.133004926109,11000.0
los angeles,15724.465116279071,7500.0
redding,23802.701923076922,12250.0
santa barbara,17696.654639175256,13200.0
medford,16004.730392156862,11000.0
